Archivo;Fallo
90_90_hamstring.png;"Sujeto Incorrecto: El ejercicio en la imagen NO se parece a la ejecución real estándar de un ""90/90 hamstring stretch"", como sugiere el nombre de archivo '90_90_hamstring.png'. La postura mostrada es una variación de equilibrio y flexibilidad extremadamente avanzada, no el estiramiento de isquiotibiales 90/90 estándar."
ab_roller.png;Biomecánica/Anatomía - Postura. El ejercicio de ab roller se muestra con una notable hiperextensión lumbar (arqueo excesivo de la espalda baja). Aunque no es una postura físicamente imposible, desde una perspectiva biomecánica estricta y de ejecución estándar óptima, se considera una técnica incorrecta que puede comprometer la seguridad de la columna vertebral y reducir la activación efectiva de los músculos abdominales. La ejecución real estándar prioriza una columna neutra o ligeramente flexionada para proteger la zona lumbar y maximizar el trabajo del core.
adductor.png;"Incoherencia biomecánica. Aunque la postura es físicamente posible, la imagen se titula 'adductor.png' y presenta una superposición anatómica de los músculos aductores. Sin embargo, la pose mostrada (apoyo en rodillas y manos con foam roller) no representa un ejercicio estándar primario para los músculos aductores. La actividad visual no corresponde con el enfoque anatómico y el título del archivo, lo que constituye una incoherencia crítica respecto al ""Sujeto Incorrecto"" en el apartado de BIOMECÁNICA/ANATOMÍA."
advanced_kettlebell_windmill.png;"BIOMECÁNICA/ANATOMÍA - Sujeto Incorrecto. La imagen se etiqueta como 'advanced_kettlebell_windmill.png', pero la postura mostrada corresponde a la fase inicial de un peso muerto con kettlebell o un swing, no a un ""windmill"" que es un ejercicio de rotación de torso con un kettlebell generalmente por encima de la cabeza. Existe una incoherencia crítica entre el nombre del archivo y la ejecución del ejercicio representado."
alternate_hammer_curl.png;El modelo se encuentra suspendido en un fondo blanco sin ninguna indicación visual de apoyo real. Falta la sombra de contacto en los pies (que no son visibles) o en la base del cuerpo que debería proyectarse sobre una superficie, lo que incumple CRÍTICAMENTE el punto de GRAVEDAD/LEVITACIÓN.
alternate_heel_touchers.png;"Incoherencia en el Sujeto - El ejercicio representado en la imagen no corresponde con la ejecución estándar del ejercicio ""alternate heel touchers"" indicado en el nombre del archivo. La imagen muestra una variación de un L-sit o plancha invertida, no los toques de talón alternos (que se realizan generalmente acostado boca arriba, tocando los talones con las manos)."
alternate_incline_dumbbell_curl.png;"BIOMECÁNICA/ANATOMÍA - Sujeto Incorrecto. El ejercicio representado en la imagen (una sentadilla con curl de bíceps) NO se corresponde con la ejecución real estándar de un ""alternate incline dumbbell curl"", que es el ejercicio implícito en el nombre del archivo 'alternate_incline_dumbbell_curl.png'. Un curl en banco inclinado se realiza en una posición sentada o reclinada en un banco inclinado, no en una sentadilla."
alternate_leg_diagonal_bound.png;"Falta de una sombra de contacto nítida y localizada bajo el pie derecho del modelo que indique un apoyo real y preciso en el suelo. La sombra presente es difusa y general, lo que no permite discernir con claridad el punto exacto de interacción o despegue, infringiendo el criterio de ""sombra de contacto que indique apoyo real""."
alternating_cable_shoulder_press.png;"El ejercicio en la imagen no corresponde con la ejecución estándar de un ""alternating cable shoulder press"" (press de hombros alterno con cable). Los cables provienen de anclajes altos y están posicionados de tal manera que cualquier movimiento de ""press"" desde esa posición implicaría empujar hacia abajo y adelante, lo cual no es un press de hombros. La postura y la dirección de la tensión sugieren más un ejercicio de pull o fly, no un press de hombros. Esto constituye una incoherencia biomecánica grave respecto al ejercicio nombrado."
alternating_deltoid_raise.png;Sujeto Incorrecto: El ejercicio representado en la imagen no se corresponde con la ejecución estándar de un 'alternating deltoid raise'. La acción mostrada es una flexión de bíceps (bicep curl) o curl martillo (hammer curl) alterno, lo cual implica una activación muscular y un patrón de movimiento fundamentalmente distintos a una elevación de deltoides.
alternating_floor_press.png;"Sujeto Incorrecto - El ejercicio representado en la imagen (una plancha modificada sobre rodillas con kettlebells) NO se corresponde con la ejecución real estándar de un ""Alternating Floor Press"", el cual se realiza tumbado boca arriba en el suelo, presionando pesas alternativamente. Existe una incoherencia crítica entre el nombre del archivo y la representación visual del ejercicio."
alternating_hang_clean.png;El ejercicio indicado por el nombre de archivo ('alternating_hang_clean') no se está ejecutando en la imagen. La imagen muestra una postura estática con pesas rusas, no el movimiento dinámico y las fases de 'hang' o 'clean' o la acción de 'alternating' que caracterizan a dicho ejercicio, por lo tanto, no se asemeja a la ejecución real estándar.
alternating_kettlebell_press.png;"El ejercicio representado en la imagen es una sentadilla profunda con kettlebells sostenidas en posición frontal. Esto NO coincide con la descripción del nombre de archivo 'alternating_kettlebell_press.png', que se refiere a un press de kettlebell alterno. Se detecta una incoherencia crítica entre el contenido visual y la descripción del sujeto, clasificándose como ""Sujeto Incorrecto"" respecto al nombre del archivo."
alternating_renegade_row.png;"Biomecánica/Anatomía - Se observa una ligera hiperextensión en la articulación del codo izquierdo. Aunque no es una postura ""imposible"" en términos absolutos para algunos individuos, desde una perspectiva biomecánica estricta, la hiperextensión durante una plancha o apoyo con carga es subóptima y puede generar estrés indebido en la articulación, indicando una falta de estabilidad activa y un posible riesgo a largo plazo."
ankle_circles.png;La sombra proyectada por el pie izquierdo extendido es excesivamente tenue y difusa, casi imperceptible, especialmente hacia los dedos, en marcado contraste con las sombras más nítidas y oscuras de las manos y el pie derecho que están en contacto con el suelo. Esta inconsistencia en la intensidad y definición de la sombra para una parte del cuerpo elevada bajo la misma fuente de luz, sugiere una representación irrealista de la interacción con la gravedad o una integración deficiente en el espacio tridimensional, dándole una apariencia de levitación sutil.
anti_gravity_press.png;Falta la sombra de contacto en los pies o el suelo que indique un apoyo real, lo cual es una incoherencia crítica respecto a la gravedad y la estabilidad del modelo.
arm_circles.png;"BIOMECÁNICA/ANATOMÍA - Sujeto Incorrecto: La imagen, cuyo nombre de archivo es 'arm_circles.png', no muestra la ejecución estándar ni una fase reconocible del ejercicio ""círculos de brazos"". El modelo se encuentra en una postura estática, sosteniendo un aro de resistencia con los brazos flexionados, lo cual es una posición de resistencia isométrica o preparación, no el movimiento circular activo que define los ""círculos de brazos"". Por lo tanto, el ejercicio representado no se parece a la ejecución real estándar del ejercicio indicado."
arnold_dumbbell_press.png;"BIOMECÁNICA/ANATOMÍA - Sujeto Incorrecto: La imagen está etiquetada como 'arnold_dumbbell_press.png', sin embargo, el ejercicio representado en la imagen (una postura inclinada hacia adelante con mancuernas) NO corresponde en absoluto a la ejecución estándar de un ""Arnold Dumbbell Press"", que es un movimiento de press de hombros con rotación. Existe una clara incoherencia entre el nombre del archivo y el contenido visual."
around_the_worlds.png;"Sujeto Incorrecto: El ejercicio mostrado en la imagen no corresponde a la ejecución real estándar de un ejercicio ""Around the Worlds"", tal como sugiere el nombre del archivo. La postura actual es más propia de un remo con mancuerna o una posición de apoyo, y no del movimiento circular de los brazos que define los ""Around the Worlds""."
ball_leg_curl.png;"El ejercicio representado en la imagen no se corresponde con la ejecución real estándar de un ""ball leg curl"". Un ""ball leg curl"" típico se realiza en posición supina (boca arriba) o prona (boca abajo) para trabajar isquiotibiales y glúteos, no en esta posición sentada inclinada. Esto constituye una ""incoherencia"" grave en la biomecánica del ejercicio si se interpreta por su nombre de archivo."
band_good_morning__pull_through_.png;"BIOMECÁNICA/ANATOMÍA - Sujeto Incorrecto. La ejecución del ejercicio no corresponde con el nombre de archivo 'band_good_morning__pull_through_'. La postura no es la de un ""Good Morning"" con banda, y la dirección de la resistencia de la banda (tracción horizontal desde el lateral-frontal) no simula la mecánica de un ""Pull-Through"" estándar, que enfatiza la extensión de cadera contra una resistencia posterior. Se observa una sentadilla isométrica combinada con un remo horizontal con banda, lo cual es un ejercicio válido, pero no el descrito."
band_hip_adductions.png;"BIOMECÁNICA/ANATOMÍA - El ejercicio representado no se corresponde con la descripción ""band_hip_adductions"". El modelo tiene una banda de resistencia colocada alrededor de los muslos, por encima de las rodillas, con una postura de piernas abiertas y la banda en tensión hacia afuera. Esta configuración es típica para realizar **abducciones de cadera** (resistencia al movimiento hacia afuera de las rodillas o para empujar las rodillas hacia afuera), no aducciones de cadera (movimiento de las piernas hacia adentro contra resistencia). Hay una incoherencia biomecánica fundamental entre la acción implícita y el título del archivo."
band_pull_apart.png;"El ejercicio representado en la imagen no se corresponde con la ejecución real estándar de un ""band pull-apart"", a pesar del nombre del archivo. La configuración de la resistencia con una banda continua que se extiende fuera del encuadre a la izquierda, junto con el uso de dos asas, sugiere la ejecución de un ""remo con banda"" (horizontal band row) desde un punto de anclaje externo. Un ""band pull-apart"" tradicional implica sostener la banda con ambas manos sin anclaje y estirarla horizontalmente separando las manos, lo cual no es lo que se observa. Esto es una incoherencia biomecánica crítica con el sujeto del ejercicio."
band_skull_crusher.png;El ejercicio en la imagen NO se parece a la ejecución real estándar de un 'Skull Crusher'. Un skull crusher es una extensión de tríceps realizada típicamente tumbado, no una variación de press o remo con banda de pie como se muestra.
barbell_curl.png;"BIOMECÁNICA/ANATOMÍA - Postura no estándar para un ""barbell curl"" estricto. La flexión de rodillas es excesiva y no representa la forma ideal de aislamiento del bíceps, sugiriendo un posible uso de impulso corporal que se desvía de la ejecución real estándar y estricta del ejercicio."
barbell_curls_lying_against_an_incline.png;Sujeto Incorrecto - La imagen, identificada como 'barbell_curls_lying_against_an_incline.png', NO representa un curl de bíceps con barra. El ejercicio que se está realizando es, inequívocamente, un press de banca inclinado, una acción biomecánicamente distinta que involucra un grupo muscular principal diferente (pecho, hombros y tríceps en lugar de bíceps). Existe una incoherencia crítica entre el nombre del archivo y la acción física representada.
barbell_guillotine_bench_press.png;El objeto metálico con forma de 'U' y asas, ubicado directamente sobre la cabeza de la modelo y por encima de la barra, no presenta ningún punto de apoyo visible ni conexión con la barra o cualquier otra estructura. Este equipo parece estar levitando en el aire, lo cual es una violación crítica de las leyes de la gravedad y la física de objetos.
barbell_hack_squat.png;"BIOMECÁNICA/ANATOMÍA - Sujeto Incorrecto: La imagen muestra la ejecución de un ""Barbell Back Squat"" (sentadilla con barra en la espalda), mientras que el nombre del archivo 'barbell_hack_squat.png' se refiere a un ejercicio diferente (""Barbell Hack Squat""), el cual implica sostener la barra por detrás de las piernas. Existe una inconsistencia directa entre el contenido visual y la denominación del ejercicio."
