Routine_ID;Target;Order;Exercise;Sets;Reps;Rest;RPE
F-001;Female;1;Cable Kickback (Gluteus Medius Focus, Side-Angled);3;12-15;60s;RPE 9
F-001;Female;2;Barbell Reverse Lunge (Rear Foot Elevated, Tempo Negative);3;12-15;60s;RPE 9
F-001;Female;3;Banded Hip Thrust;3;12-15;60s;RPE 9
F-001;Female;4;Deficit Deadlift;3-4;6-8;120s;RPE 8-9
F-001;Female;5;Anderson Squat;3-4;6-8;120s;RPE 8-9
F-001;Female;6;Cable Row (Single-Arm, Supinated Grip);3;12-15;60s;RPE 9
F-002;Female;1;Banded Hip Thrust;3;12-15;60s;RPE 9
F-002;Female;2;Trap Bar Deadlift;3-4;6-8;120s;RPE 8-9
F-002;Female;3;Dumbbell Goblet Squat (Tempo Training, Pause at Bottom);3-4;6-8;120s;RPE 8-9
F-002;Female;4;Cable Kickback (Gluteus Medius Focus, Side-Angled, Pause at Peak);3;12-15;60s;RPE 9
F-002;Female;5;Heel Elevated Goblet Squat;3-4;6-8;120s;RPE 8-9
F-002;Female;6;Incline Push-Up;3;12-15;60s;RPE 9
F-003;Female;1;Leg Extension (Single-Leg, Pause at Top);3;12-15;60s;RPE 9
F-003;Female;2;Hyperextension (Weighted, Glute Focus, High Rep);3;12-15;60s;RPE 9
F-003;Female;3;Machine Hack Squat (Wide Stance, High Rep);3-4;6-8;120s;RPE 8-9
F-003;Female;4;Dumbbell Walking Lunge;3;12-15;60s;RPE 9
F-003;Female;5;Cable Adduction (Standing, Heavy Load, Pause at Peak);3;12-15;60s;RPE 9
F-003;Female;6;Weighted Cable Crunch (High Rep, Max Contraction);3;12-15;60s;RPE 9
F-004;Female;1;Single-Leg Hip Abduction (Cable, Standing, High Rep);3;12-15;60s;RPE 9
F-004;Female;2;Deficit Reverse Lunge (Dumbbell);3;12-15;60s;RPE 9
F-004;Female;3;Cable Donkey Kick;3;12-15;60s;RPE 9
F-004;Female;4;Cable Hyperextension (Rope Attachment, Glute Focus, Pause at Peak);3;12-15;60s;RPE 9
F-004;Female;5;Dumbbell Split Squat (Rear Foot Elevated, Close Stance, Tempo Negative);3-4;6-8;120s;RPE 8-9
F-004;Female;6;Decline Barbell Bench Press;3-4;6-8;120s;RPE 8-9
F-005;Female;1;Dumbbell Split Squat (Rear Foot Elevated, Pause at Bottom);3-4;6-8;120s;RPE 8-9
F-005;Female;2;Hyperextension (Weighted, Glute Focus, Tempo Negative);3;12-15;60s;RPE 9
F-005;Female;3;Dumbbell Lunge;3;12-15;60s;RPE 9
F-005;Female;4;Hack Squat Machine (Medium Stance, Low Depth, High Rep);3-4;6-8;120s;RPE 8-9
F-005;Female;5;Frog Pump;3;12-15;60s;RPE 9
F-005;Female;6;Swiss Ball Leg Curl;3;12-15;60s;RPE 9
F-006;Female;1;Dumbbell Sumo Squat;3-4;6-8;120s;RPE 8-9
F-006;Female;2;Hack Squat Machine (Narrow Stance, Low Foot, Tempo Negative);3-4;6-8;120s;RPE 8-9
F-006;Female;3;Glute Bridge March;3;12-15;60s;RPE 9
F-006;Female;4;Dumbbell Sumo Squat (High Volume, Pulse Reps at Bottom);3-4;6-8;120s;RPE 8-9
F-006;Female;5;Single-Leg RDL (Dumbbell, Deficit, Glute Focus);3;12-15;60s;RPE 9
F-006;Female;6;Dumbbell Shrug;3;12-15;60s;RPE 9
F-007;Female;1;Landmine Hack Squat;3-4;6-8;120s;RPE 8-9
F-007;Female;2;Dumbbell Bulgarian Split Squat (Front Foot Elevated, Tempo Negative);3-4;6-8;120s;RPE 8-9
F-007;Female;3;Poliquin Step-Up;3;12-15;60s;RPE 9
F-007;Female;4;Single-Leg RDL (Dumbbell, Torso Supported, High Rep);3;12-15;60s;RPE 9
F-007;Female;5;Zercher Lunge;3;12-15;60s;RPE 9
F-007;Female;6;Chin to Chest Stretch;3;12-15;60s;RPE 9
F-008;Female;1;Stiff-Leg Barbell Deadlift;3-4;6-8;120s;RPE 8-9
F-008;Female;2;Cable Glute Kickback (Standing, Extended Range);3;12-15;60s;RPE 9
F-008;Female;3;Glute Bridge (Banded, Heels Elevated);3;12-15;60s;RPE 9
F-008;Female;4;Dumbbell Goblet Squat (Elevated Heels);3-4;6-8;120s;RPE 8-9
F-008;Female;5;Barbell Step-Ups (Reverse, Heavy Load, Pause at Peak);3;12-15;60s;RPE 9
F-008;Female;6;Cable Crossover (Low-to-High, Single-Arm, Tempo Negative);3;12-15;60s;RPE 9
F-009;Female;1;Sumo Deadlift (Trap Bar, Elevated Stance, Heavy Load);3-4;6-8;120s;RPE 8-9
F-009;Female;2;Machine Hack Squat (Narrow Stance, Pause at Top);3-4;6-8;120s;RPE 8-9
F-009;Female;3;Kneeling Jump Squat;3-4;6-8;120s;RPE 8-9
F-009;Female;4;Barbell Step-Ups (Reverse, Heavy Load, Pause at Peak);3;12-15;60s;RPE 9
F-009;Female;5;Barbell Side Split Squat;3-4;6-8;120s;RPE 8-9
F-009;Female;6;Wrist Roller;3;12-15;60s;RPE 9
F-010;Female;1;Dumbbell Goblet Squat (Elevated Heels);3-4;6-8;120s;RPE 8-9
F-010;Female;2;Cable Pull-Through (Rope, High Rep, Max Pump);3;12-15;60s;RPE 9
F-010;Female;3;Hack Squat Machine (Medium Stance, Low Depth);3-4;6-8;120s;RPE 8-9
F-010;Female;4;Heel Elevated Goblet Squat;3-4;6-8;120s;RPE 8-9
F-010;Female;5;Dumbbell Bulgarian Split Squat;3-4;6-8;120s;RPE 8-9
F-010;Female;6;Cable Curl (Low Pulley, Straight Bar, Wide Grip);3;12-15;60s;RPE 9
F-011;Female;1;Barbell Step-Ups (Reverse, Heavy Load, Pause at Peak);3;12-15;60s;RPE 9
F-011;Female;2;Cable Pull-Through (Rope, High Rep, Max Pump);3;12-15;60s;RPE 9
F-011;Female;3;Hack Squat Machine (Narrow Stance, Low Foot, Tempo Negative);3-4;6-8;120s;RPE 8-9
F-011;Female;4;Hack Squat Machine (Wide Stance, High Foot, Tempo Negative);3-4;6-8;120s;RPE 8-9
F-011;Female;5;Zercher Deadlift;3-4;6-8;120s;RPE 8-9
F-011;Female;6;Cable Triceps Kickback (Standing, Pause at Peak);3;12-15;60s;RPE 9
F-012;Female;1;Machine Hip Abduction (Torso Erect, High Rep);3;12-15;60s;RPE 9
F-012;Female;2;Cable Pull-Through (Deep Hip Hinge, High Rep);3;12-15;60s;RPE 9
F-012;Female;3;Deficit Deadlift;3-4;6-8;120s;RPE 8-9
F-012;Female;4;Single-Leg Romanian Deadlift (Dumbbell, Torso Supported);3-4;6-8;120s;RPE 8-9
F-012;Female;5;Single-Leg Box Squat;3-4;6-8;120s;RPE 8-9
F-012;Female;6;Smith Machine Bench Press (High Rep, Close Grip);3-4;6-8;120s;RPE 8-9
F-013;Female;1;Single-Leg Romanian Deadlift (Dumbbell, Pause at Bottom);3-4;6-8;120s;RPE 8-9
F-013;Female;2;Dumbbell Sumo Squat (High Volume, Tempo Negative);3-4;6-8;120s;RPE 8-9
F-013;Female;3;Dumbbell Goblet Squat (Banded, Feet Turned Out);3-4;6-8;120s;RPE 8-9
F-013;Female;4;Dumbbell Reverse Lunge (Front Foot Elevated, Glute Focus);3;12-15;60s;RPE 9
F-013;Female;5;Lateral Lunge (Dumbbell);3;12-15;60s;RPE 9
F-013;Female;6;Bent Over Barbell Row;3;12-15;60s;RPE 9
F-014;Female;1;Dumbbell Reverse Lunge (Front Foot Elevated, Tempo Negative);3;12-15;60s;RPE 9
F-014;Female;2;Dumbbell Sumo Squat;3-4;6-8;120s;RPE 8-9
F-014;Female;3;Walking Lunges (Dumbbells, Long Stride);3;12-15;60s;RPE 9
F-014;Female;4;Dumbbell Squat;3-4;6-8;120s;RPE 8-9
F-014;Female;5;Cable Romanian Deadlift (V-Bar, Wide Stance);3-4;6-8;120s;RPE 8-9
F-014;Female;6;Cable Rear Delt Row (Underhand Grip, Low Pulley);3;12-15;60s;RPE 9
F-015;Female;1;Cable Glute Kickback (Standing, Extended Range);3;12-15;60s;RPE 9
F-015;Female;2;Dumbbell Goblet Squat (Banded, Feet Turned Out);3-4;6-8;120s;RPE 8-9
F-015;Female;3;Machine Seated Curl (Wide Stance, High Rep);3;12-15;60s;RPE 9
F-015;Female;4;Hack Squat Machine (Narrow Stance, Low Foot, Tempo Negative);3-4;6-8;120s;RPE 8-9
F-015;Female;5;Dumbbell Sumo Squat;3-4;6-8;120s;RPE 8-9
F-015;Female;6;Seated Machine Row (Underhand Grip);3;12-15;60s;RPE 9
F-016;Female;1;Dumbbell Bulgarian Split Squat (Front Foot Elevated, Tempo Negative);3-4;6-8;120s;RPE 8-9
F-016;Female;2;Pin Squat;3-4;6-8;120s;RPE 8-9
F-016;Female;3;Cable Romanian Deadlift (V-Bar, Wide Stance);3-4;6-8;120s;RPE 8-9
F-016;Female;4;Machine Seated Curl (Wide Stance, Slow Negative);3;12-15;60s;RPE 9
F-016;Female;5;Hack Squat Machine (Narrow Stance, Low Rep Focus);3-4;6-8;120s;RPE 8-9
F-016;Female;6;Cocoons;3;12-15;60s;RPE 9
F-017;Female;1;Barbell Reverse Lunge (Deficit, Pause at Bottom);3;12-15;60s;RPE 9
F-017;Female;2;Dumbbell Split Squat (Rear Foot Elevated, Pause at Bottom);3-4;6-8;120s;RPE 8-9
F-017;Female;3;Dumbbell Squat;3-4;6-8;120s;RPE 8-9
F-017;Female;4;Barbell Reverse Lunge (Glute Focus, Forward Lean);3;12-15;60s;RPE 9
F-017;Female;5;Dumbbell Bulgarian Split Squat (Front Foot Elevated, Pause at Bottom);3-4;6-8;120s;RPE 8-9
F-017;Female;6;Dumbbell Press (Incline, Supinated Grip);3-4;6-8;120s;RPE 8-9
F-018;Female;1;Dumbbell Reverse Lunge (Front Foot Elevated, Pause at Bottom);3;12-15;60s;RPE 9
F-018;Female;2;Cable Hyperextension (Rope Attachment, Glute Focus, Pause at Peak);3;12-15;60s;RPE 9
F-018;Female;3;Single-Leg RDL (Kettlebell, Contralateral Hold, High Rep);3;12-15;60s;RPE 9
F-018;Female;4;Cable Adduction (Standing, Heavy Load, Tempo Negative);3;12-15;60s;RPE 9
F-018;Female;5;Poliquin Step-Up;3;12-15;60s;RPE 9
F-018;Female;6;EZ Bar Skullcrusher;3;12-15;60s;RPE 9
F-019;Female;1;Cable Side Kick (Standing, Flexed Foot);3;12-15;60s;RPE 9
F-019;Female;2;Donkey Kicks (Smith Machine);3;12-15;60s;RPE 9
F-019;Female;3;Single-Leg RDL (Dumbbell, Torso Supported, High Rep);3;12-15;60s;RPE 9
F-019;Female;4;Barbell Step-Ups (Box, Low Rep, Pause at Peak);3;12-15;60s;RPE 9
F-019;Female;5;Dumbbell Goblet Squat (Elevated Heels, High Rep);3-4;6-8;120s;RPE 8-9
F-019;Female;6;Cocoons;3;12-15;60s;RPE 9
F-020;Female;1;Barbell Step-Ups (Reverse, Heavy Load, Pause at Peak);3;12-15;60s;RPE 9
F-020;Female;2;Barbell Step-Ups;3;12-15;60s;RPE 9
F-020;Female;3;Barbell Lunge;3;12-15;60s;RPE 9
F-020;Female;4;Landmine Squat;3-4;6-8;120s;RPE 8-9
F-020;Female;5;Cable Adduction (Standing, Heavy Load, Low Rep);3;12-15;60s;RPE 9
F-020;Female;6;Arnold Press (Seated, Dumbbell);3-4;6-8;120s;RPE 8-9
F-021;Female;1;Glute Bridge (Banded, Heels Elevated);3;12-15;60s;RPE 9
F-021;Female;2;Single-Leg RDL (Dumbbell, Balance Focus, Eyes Closed);3;12-15;60s;RPE 9
F-021;Female;3;Hack Squat Machine (Wide Stance, High Foot, Tempo Negative);3-4;6-8;120s;RPE 8-9
